加速度X：	 加速度Y：	 加速度Z：	角速度X：	 角速度Y：	 角速度Z：	 地磁X：	 地磁Y：	 地磁Z：
9.14383	0.604665	-1.60091	-0.898185	0.136683	0.8957930000000001	-68.4991	22.5052	-22.6465
9.02309	0.165885	-1.70481	-1.04704	0.0394566	0.8810979999999999	-68.6276	23.3987	-23.1311
9.12711	-0.0764072	-1.96188	-0.930401	0.0694796	0.816304	-68.1966	24.4899	-23.3705
9.24688	0.044488699999999985	-2.06885	-0.906552	0.0498712	0.7397729999999999	-67.8666	25.1353	-22.995
9.02047	-0.212982	-2.30898	-0.774988	0.0389436	0.6935399999999999	-68.3325	26.258000000000006	-23.2267
8.76515	-1.39267	-2.21302	-0.67875	-0.00911495	0.629536	-68.5533	26.368	-22.6049
9.2153	-1.89181	-2.30462	-0.4670760000000001	-0.0427735	0.551791	-67.1005	26.8636	-22.2401
9.76872	-0.98497	-2.94615	-0.255472	0.00510815	0.427547	-67.8945	27.3376	-22.5999
10.0095	-0.198365	-2.90455	-0.308765	0.131118	0.33721	-66.90100000000001	28.4058	-22.5967
10.2528	-0.25794	-2.1943	-0.497152	0.0860786	0.21498	-67.5573	27.5399	-22.1054
10.5237	-1.39199	-1.9802	-0.440567	0.188238	0.0884738	-67.1313	28.6394	-22.9636
10.8519	-2.81422	-2.43142	-0.33954	0.21202	-0.00241491	-67.2353	28.4143	-22.3463
11.0604	-3.75239	-2.80789	-0.232744	0.346398	-0.209624	-67.2415	28.8558	-22.3415
10.880999999999998	-3.29846	-2.62678	-0.07106610000000001	0.434649	-0.370645	-66.4492	27.7378	-23.3501
10.8971	-2.6175900000000003	-2.43229	-0.0180755	0.484167	-0.563825	-67.2318	27.3306	-23.8432
11.3184	-1.55862	-2.33199	0.0791127	0.550029	-0.6819	-66.7731	26.6509	-23.7304
12.0098	-0.560186	-2.30861	0.00372563	0.573439	-0.789011	-67.1033	26.2213	-23.7323
12.5227	-0.272089	-1.8128	-0.12853	0.650054	-0.82724	-67.2229	26.3456	-24.4727
13.8426	-1.27059	-2.25551	-0.28533200000000003	0.759116	-0.876258	-66.6524	25.3392	-24.9832
15.0253	-2.1789400000000003	-3.16699	-0.26014	0.905435	-0.863791	-67.3263	24.6102	-26.4708
14.7241	-1.34743	-3.4102300000000003	-0.28575	0.908238	-0.911884	-67.3262	24.3944	-26.8444
15.9784	-1.6474099999999998	-1.58456	-0.597151	1.00279	-0.937024	-67.9945	24.5185	-26.095
17.409000000000002	-2.1754	-0.71262	-0.899302	1.12413	-1.00679	-66.985	23.4042	-27.9718
17.5882	-4.23252	-0.8431700000000001	-1.11609	1.17819	-1.15022	-67.6612	23.5416	-28.2124
16.9412	-5.8663	-0.95556	-1.24198	1.14449	-1.29345	-66.8822	23.0924	-29.7089
16.9997	-7.288410000000002	-1.254	-1.21433	1.09496	-1.48684	-67.2051	22.0039	-29.9654
17.088	-9.16427	-1.56627	-1.1767299999999998	1.0832700000000002	-1.60895	-66.9828	21.7836	-30.5885
16.5573	-9.89178	-2.69626	-0.915959	0.980391	-1.61789	-67.5477	21.4871	-31.701
16.9285	-8.819180000000003	-3.80655	-0.453612	0.8431709999999999	-1.6534099999999998	-67.4018	19.4866	-30.9809
15.7362	-5.49388	-5.3849800000000005	0.12695	0.792651	-1.83747	-68.0783	19.0854	-32.2174
15.3264	0.342561	-6.79402	0.5187	0.29402399999999995	-1.93486	-68.0621	17.4415	-33.1015
17.998	5.28791	-7.71709	0.964071	0.106129	-2.26157	-68.0464	15.9063	-33.8607
20.8243	10.9152	-7.59886	1.19275	0.05653540000000001	-2.75456	-68.2393	13.814	-33.6339
21.8293	16.8328	-4.76267	1.14536	0.0626683	-3.28872	-67.9777	10.7258	-34.4116
21.27	20.6775	-2.2444900000000003	0.63965	0.298477	-3.71952	-68.8493	8.667	-34.9216
21.7515	21.1769	-2.08217	-0.102882	0.376158	-4.1524199999999984	-68.2603	6.55199	-35.0727
22.5914	13.7812	-1.89635	-0.836939	0.69234	-4.02693	-67.9041	4.56684	-36.0871
18.2726	7.713430000000002	-3.26146	-1.55898	0.8803790000000001	-3.63004	-67.4477	3.5677300000000005	-36.8441
17.118	4.09924	-2.48694	-1.89765	1.16249	-3.68264	-66.6462	1.78755	-37.8599
12.9504	5.235119999999998	-0.500885	-1.88264	1.26661	-3.48469	-65.641	1.54294	-38.7372
9.50806	4.88585	-1.01121	-1.88465	1.04713	-3.21499	-64.0724	1.48941	-38.8744
9.65641	1.9967	-1.26	-2.06133	1.03793	-2.93825	-63.5192	1.1585	-40.3677
